iso3,glottocode,parallel_score,n_pairs_total,total_sent_pairs,n_corpora
kix,khiamniungan naga,0.0,0,0,0
bvd,baeggu,0.0,0,0,0
zty,yatee zapotec,0.0,0,0,0
mux,bo-ung,0.0,0,0,0
swk,malawi sena,0.0,0,0,0
bmk,ghayavi,0.0,0,0,0
nii,nii,0.0,0,0,0
blw,balangao,0.0,0,0,0
bgz,banggai,0.0,0,0,0
tim,timbe,0.0,0,0,0
cnk,khumi chin,0.0,0,0,0
zpz,texmelucan zapotec,0.0,0,0,0
zpa,lachiguiri zapotec,0.0,0,0,0
nop,numanggang,0.0,0,0,0
ktm,kurti,0.0,0,0,0
lai,lambya,0.0,0,0,0
nhd,chiripá,0.0,0,0,0
eri,ogea,0.0,0,0,0
cjv,chuave,0.0,0,0,0
dks,southeastern dinka,0.0,0,0,0
anv,denya,0.0,0,0,0
mhu,tawra,0.0,0,0,0
kbm,iwal,0.0,0,0,0
ksc,bangad,0.0,0,0,0
mks,silacayoapan mixtec,0.0,0,0,0
ons,ono,0.0,0,0,0
bbo,northern bobo madaré,0.0,0,0,0
kqw,kandas,0.0,0,0,0
ino,inoke-yate,0.0,0,0,0
urw,sop,0.0,0,0,0
spm,sepen,0.0,0,0,0
nmw,nimoa,0.0,0,0,0
zyp,zyphe,0.0,0,0,0
kqf,kakabai,0.0,0,0,0
mzz,maiadomu,0.0,0,0,0
otn,tenango otomi,0.0,0,0,0
bhl,bimin,0.0,0,0,0
zpv,chichicapan zapotec,0.0,0,0,0
yon,yonggom,0.0,0,0,0
nrf,jerriais,0.0,0,0,0
ots,estado de méxico otomi,0.0,0,0,0
mmx,madak,0.0,0,0,0
khz,keapara,0.0,0,0,0
uth,eastern duka,0.0,0,0,0
cnw,ngawn chin,0.0,0,0,0
zpg,guevea de humboldt zapotec,0.0,0,0,0
soe,ohendo,0.0,0,0,0
nnl,northern rengma naga,0.0,0,0,0
aui,anuki,0.0,0,0,0
lap,laka (chad),0.0,0,0,0
sdq,semandang,0.0,0,0,0
zpt,san vicente coatlán zapotec,0.0,0,0,0
yut,yopno,0.0,0,0,0
tpa,taupota,0.0,0,0,0
xla,kamula,0.0,0,0,0
avt,au,0.0,0,0,0
amm,ama (papua new guinea),0.0,0,0,0
mbi,ilianen manobo,0.0,0,0,0
nou,ewage-notu,0.0,0,0,0
big,biangai,0.0,0,0,0
zia,zia,0.0,0,0,0
etr,edolo,0.0,0,0,0
mmo,mangga buang,0.0,0,0,0
dad,marik,0.0,0,0,0
nss,nali,0.0,0,0,0
ztq,quioquitani-quieri zapotec,0.0,0,0,0
ntu,natügu,0.0,0,0,0
yat,yambeta,0.0,0,0,0
bhg,binandere,0.0,0,0,0
kkc,odoodee,0.0,0,0,0
kvg,kuni-boazi,0.0,0,0,0
aaz,amarasi,0.0,0,0,0
crj,southern east cree,0.0,0,0,0
iws,sepik iwam,0.0,0,0,0
ssg,seimat,0.0,0,0,0
kql,kyenele,0.0,0,0,0
dhm,zemba,0.0,0,0,0
rmq,caló,0.0,0,0,0
soq,kanasi,0.0,0,0,0
kud,'auhelawa,0.0,0,0,0
aby,aneme wake,0.0,0,0,0
vmk,makhuwa-shirima,0.0,0,0,0
zpo,amatlán zapotec,0.0,0,0,0
aai,arifama-miniafia,0.0,0,0,0
ssx,samberigi,0.0,0,0,0
bku,buhid,0.0,0,0,0
sny,saniyo-hiyewe,0.0,0,0,0
fai,faiwol,0.0,0,0,0
akh,angal heneng,0.0,0,0,0
nhk,isthmus-cosoleacaque nahuatl,0.0,0,0,0
khs,kasua,0.0,0,0,0
drg,rungus,0.0,0,0,0
ubr,ubir,0.0,0,0,0
bwd,bwaidoka,0.0,0,0,0
sfw,sehwi,0.0,0,0,0
nwi,southwest tanna,0.0,0,0,0
bmh,kein,0.0,0,0,0
wat,kaninuwa,0.0,0,0,0
ncq,northern katang,0.0,0,0,0
gdr,wipi,0.0,0,0,0
gnb,gangte,0.0,0,0,0
mgc,morokodo,0.0,0,0,0
bjp,fanamaket,0.0,0,0,0
mti,maiwa (papua new guinea),0.0,0,0,0
whk,eastern lowland kenyah,0.0,0,0,0
fad,wagi (papua new guinea),0.0,0,0,0
clu,caluyanun,0.0,0,0,0
bxh,buhutu,0.0,0,0,0
dww,dawawa,0.0,0,0,0
lhi,lahu shi,0.0,0,0,0
yby,yaweyuha,0.0,0,0,0
sby,soli,0.0,0,0,0
swp,suau,0.0,0,0,0
lbb,label,0.0,0,0,0
sbs,subiya,0.0,0,0,0
lok,loko,0.0,0,0,0
nif,nek,0.0,0,0,0
ppo,folopa,0.0,0,0,0
hot,hote,0.0,0,0,0
ebk,eastern bontok,0.0,0,0,0
wep,westphalic,0.0,0,0,0
blt,tai dam,0.0,0,0,0
poc,poqomam,0.0,0,0,0
bng,benga,0.0,0,0,0
gez,geez,0.0,0,0,0
bor,bororo,0.0,0,0,0
ijc,izon,0.0,0,0,0
bsh,katë,0.0,0,0,0
kxv,kuvi,0.0,0,0,0
rwr,marwari (india),0.0,0,0,0
thz,tayart tamajeq,0.0,0,0,0
dhi,dhimal,0.0,0,0,0
ntm,nateni,0.0,0,0,0
kdt,kuy,0.0,0,0,0
bbl,bats,0.0,0,0,0
udl,wuzlam,0.0,0,0,0
dbq,daba,0.0,0,0,0
yas,nugunu (cameroon),0.0,0,0,0
led,lendu,0.0,0,0,0
nxq,naxi,0.0,0,0,0
xpe,liberia kpelle,0.0,0,0,0
fip,fipa,0.0,0,0,0
jqr,jaqaru,0.0,0,0,0
mtj,moskona,0.0,0,0,0
khg,khams tibetan,0.0,0,0,0
hia,lamang,0.0,0,0,0
qxw,jauja wanca quechua,0.0,0,0,0
tvo,tidore,0.0,0,0,0
tao,yami,0.0,0,0,0
fia,nobiin,0.0,0,0,0
tdn,tondano,0.0,0,0,0
scl,shina,0.0,0,0,0
anc,ngas,0.0,0,0,0
saj,sahu,0.0,0,0,0
fng,fanagalo,0.0,0,0,0
eya,eyak,0.0,0,0,0
ngi,ngizim,0.0,0,0,0
nga,ngbaka minagende,0.0,0,0,0
kdd,yankunytjatjara,0.0,0,0,0
nut,nung (viet nam),0.0,0,0,0
dsh,daasanach,0.0,0,0,0
chb,chibcha,0.0,0,0,0
aec,saidi arabic,0.0,0,0,0
pko,pökoot,0.0,0,0,0
kpo,ikposo,0.0,0,0,0
oru,ormuri,0.0,0,0,0
bdu,oroko,0.0,0,0,0
bxk,bukusu,0.0,0,0,0
tri,trió,0.0,0,0,0
ems,pacific gulf yupik,0.0,0,0,0
srb,sora,0.0,0,0,0
zoc,copainalá zoque,0.0,0,0,0
dav,taita,0.0,0,0,0
zor,rayón zoque,0.0,0,0,0
mrt,marghi central,0.0,0,0,0
kfk,kinnauri,0.0,0,0,0
gby,gbari,0.0,0,0,0
waw,waiwai,0.0,0,0,0
tan,tangale,0.0,0,0,0
ntj,ngaanyatjarra,0.0,0,0,0
aoc,pemon,0.0,0,0,0
akk,akkadian,0.0,0,0,0
acw,hijazi arabic,0.0,0,0,0
knn,konkan marathi,0.0,0,0,0
mxu,mada (cameroon),0.0,0,0,0
rma,rama,0.0,0,0,0
tpn,tupinambá,0.0,0,0,0
bjt,balanta-ganja,0.0,0,0,0
bhr,bara malagasy,0.0,0,0,0
quv,sacapulteco,0.0,0,0,0
ayz,maybrat-karon,0.0,0,0,0
bcz,bainouk-gunyaamolo-gutobor,0.0,0,0,0
hlt,nga la,0.0,0,0,0
kmz,khorasan turkic,0.0,0,0,0
kgs,kumbainggar,0.0,0,0,0
ket,ket,0.0,0,0,0
mpj,martu wangka,0.0,0,0,0
kcn,nubi,0.0,0,0,0
tbw,tagbanwa,0.0,0,0,0
nmh,monsang naga,0.0,0,0,0
zsr,southern rincon zapotec,0.0,0,0,0
zpj,quiavicuzas zapotec,0.0,0,0,0
nvm,namiae,0.0,0,0,0
xta,alcozauca mixtec,0.0,0,0,0
ayc,southern aymara,0.0,0,0,0
ute,ute-southern paiute,0.0,0,0,0
kld,yuwaalaraay-gamilaraay,0.0,0,0,0
niv,amur nivkh,0.0,0,0,0
sum,sumuic,0.0,0,0,0
kay,kamayurá,0.0,0,0,0
bdm,buduma,0.0,0,0,0
mgi,lijili,0.0,0,0,0
gwe,gweno,0.0,0,0,0
gol,gola,0.0,0,0,0
mdd,mbum,0.0,0,0,0
rah,rabha,0.0,0,0,0
src,logudorese sardinian,0.0,0,0,0
onb,western ong-be,0.0,0,0,0
bfz,mahasu pahari,0.0,0,0,0
twe,teiwa,0.0,0,0,0
puu,punu,0.0,0,0,0
mye,myene,0.0,0,0,0
egy,egyptian (ancient),0.0,0,0,0
lme,peve,0.0,0,0,0
vah,varhadi-nagpuri,0.0,0,0,0
zoh,chimalapa zoque,0.0,0,0,0
pil,yom,0.0,0,0,0
pst,central pashto,0.0,0,0,0
nal,nalik,0.0,0,0,0
tio,teop,0.0,0,0,0
tvu,tunen,0.0,0,0,0
ank,goemai,0.0,0,0,0
ndv,ndut,0.0,0,0,0
xer,xerénte,0.0,0,0,0
kls,chitral kalasha,0.0,0,0,0
siw,siwai,0.0,0,0,0
deg,degema,0.0,0,0,0
eip,eipomek,0.0,0,0,0
phr,pahari potwari,0.0,0,0,0
fmp,fe'fe',0.0,0,0,0
ttr,tera,0.0,0,0,0
rof,rombo,0.0,0,0,0
phl,palula,0.0,0,0,0
ijn,kalabari,0.0,0,0,0
ego,eggon,0.0,0,0,0
wlo,wolio,0.0,0,0,0
bej,beja,0.0,0,0,0
arw,lokono,0.0,0,0,0
tdt,tetun dili,0.0,0,0,0
thd,thayore,0.0,0,0,0
tfn,dena'ina,0.0,0,0,0
yux,southern yukaghir,0.0,0,0,0
ude,udihe,0.0,0,0,0
ybe,west yugur,0.0,0,0,0
ciw,chippewa,0.0,0,0,0
dzg,dazaga,0.0,0,0,0
ahl,igo,0.0,0,0,0
abb,bankon,0.0,0,0,0
sjr,siar-lak,0.0,0,0,0
sel,selkup,0.0,0,0,0
dta,dagur,0.0,0,0,0
mkw,kituba (congo),0.0,0,0,0
bde,bade,0.0,0,0,0
sea,semai,0.0,0,0,0
gkp,guinea kpelle,0.0,0,0,0
myl,moma,0.0,0,0,0
bou,bondei,0.0,0,0,0
tuq,tedaga,0.0,0,0,0
sva,svan,0.0,0,0,0
bvb,bube,0.0,0,0,0
tgj,tagin,0.0,0,0,0
txa,tombonuo,0.0,0,0,0
kzc,bondoukou kulango,0.0,0,0,0
tiw,tiwi,0.0,0,0,0
ssy,saho,0.0,0,0,0
mlq,western maninkakan,0.0,0,0,0
gju,gujari,0.0,0,0,0
kzi,kelabit,0.0,0,0,0
tom,tombulu,0.0,0,0,0
kfq,korku,0.0,0,0,0
jax,jambi malay,0.0,0,0,0
tnt,tontemboan,0.0,0,0,0
hbb,huba,0.0,0,0,0
jmd,yamdena,0.0,0,0,0
xua,alu kurumba,0.0,0,0,0
dbj,ida'an,0.0,0,0,0
bag,tuki,0.0,0,0,0
slu,selaru,0.0,0,0,0
hlb,halbi,0.0,0,0,0
gcc,mali,0.0,0,0,0
pip,pero,0.0,0,0,0
mmr,western xiangxi miao,0.0,0,0,0
lep,lepcha,0.0,0,0,0
nna,nyangumarta,0.0,0,0,0
slr,salar,0.0,0,0,0
gon,northwest gondi,0.0,0,0,0
kzh,kenuzi-dongola,0.0,0,0,0
sza,semelai,0.0,0,0,0
sip,sikkimese,0.0,0,0,0
nki,thangal naga,0.0,0,0,0
chp,chipewyan,0.0,0,0,0
law,lauje,0.0,0,0,0
kmd,madukayang kalinga,0.0,0,0,0
twb,western tawbuid,0.0,0,0,0
nla,ngombale,0.0,0,0,0
nlc,nalca,0.0,0,0,0
nuz,tlamacazapa nahuatl,0.0,0,0,0
dip,northeastern dinka,0.0,0,0,0
mjg,mongghul,0.0,0,0,0
rys,yaeyama,0.0,0,0,0
dlg,dolgan,0.0,0,0,0
hit,hittite,0.0,0,0,0
ykg,northern yukaghir,0.0,0,0,0
mvi,miyako,0.0,0,0,0
zag,beria,0.0,0,0,0
kxu,kui (india),0.0,0,0,0
peh,bonan,0.0,0,0,0
wya,huron-wyandot,0.0,0,0,0
kap,bezhta,0.0,0,0,0
sed,sedang,0.0,0,0,0
pcc,bouyei,0.0,0,0,0
lns,lamnso',0.0,0,0,0
sjm,mapun,0.0,0,0,0
mhk,mungaka,0.0,0,0,0
pow,san felipe otlaltepec popoloca,0.0,0,0,0
bri,mokpwe,0.0,0,0,0
alo,larike-wakasihu,0.0,0,0,0
msh,masikoro malagasy,0.0,0,0,0
glw,glavda,0.0,0,0,0
bjw,bakwé,0.0,0,0,0
buo,terei,0.0,0,0,0
xte,ketengban,0.0,0,0,0
cri,sãotomense,0.0,0,0,0
asa,asu (tanzania),0.0,0,0,0
moz,mukulu,0.0,0,0,0
mmg,north ambrym,0.0,0,0,0
ril,riang (myanmar),0.0,0,0,0
qxu,arequipa-la unión quechua,0.0,0,0,0
xnj,tanzanian ngoni,0.0,0,0,0
aal,afade,0.0,0,0,0
klw,tado-lindu,0.0,0,0,0
txs,tonsea,0.0,0,0,0
dgk,dagba,0.0,0,0,0
yuf,havasupai-walapai-yavapai,0.0,0,0,0
och,old chinese,0.0,0,0,0
hur,halkomelem,0.0,0,0,0
khr,kharia,0.0,0,0,0
bdy,middle clarence bandjalang,0.0,0,0,0
den,slave,0.0,0,0,0
dbl,dyirbal,0.0,0,0,0
boh,boma yumu,0.0,0,0,0
xam,/xam,0.0,0,0,0
brf,bera,0.0,0,0,0
teh,tehuelche,0.0,0,0,0
osa,osage,0.0,0,0,0
sac,meskwaki,0.0,0,0,0
gni,gooniyandi,0.0,0,0,0
beb,bebele,0.0,0,0,0
mtd,mualang,0.0,0,0,0
nmg,kwasio,0.0,0,0,0
kma,konni,0.0,0,0,0
bra,braj,0.0,0,0,0
xnr,kangri,0.0,0,0,0
mkf,miya,0.0,0,0,0
suv,eastern puroik,0.0,0,0,0
yba,yala,0.0,0,0,0
pua,western highland purepecha,0.0,0,0,0
qux,yauyos quechua,0.0,0,0,0
tgc,tigak,0.0,0,0,0
kna,dera (nigeria),0.0,0,0,0
wja,waja,0.0,0,0,0
crq,iyo'wujwa chorote,0.0,0,0,0
yea,ravula,0.0,0,0,0
qum,sipacapense,0.0,0,0,0
the,chitwania tharu,0.0,0,0,0
pmy,papuan malay,0.0,0,0,0
gau,mudhili gadaba,0.0,0,0,0
ktn,karitiâna,0.0,0,0,0
wca,yanomám,0.0,0,0,0
kim,taiga sayan turkic,0.0,0,0,0
ins,indian sign language,0.0,0,0,0
gvr,gurung,0.0,0,0,0
tau,upper tanana,0.0,0,0,0
sog,sogdian,0.0,0,0,0
sce,dongxiang,0.0,0,0,0
mdw,mbosi,0.0,0,0,0
nez,nez perce,0.0,0,0,0
mpq,matís,0.0,0,0,0
pyu,puyuma,0.0,0,0,0
ayn,sanaani arabic,0.0,0,0,0
xct,classical tibetan,0.0,0,0,0
uga,ugaritic,0.0,0,0,0
gyd,kayardild,0.0,0,0,0
gdq,mehri,0.0,0,0,0
qer,dalecarlian,0.0,0,0,0
guf,gupapuyngu,0.0,0,0,0
bun,sherbro,0.0,0,0,0
uby,ubykh,0.0,0,0,0
bnc,bontok,0.0,0,0,0
enf,forest enets,0.0,0,0,0
anu,anuak,0.0,0,0,0
wit,wintu,0.0,0,0,0
kfz,koromfé,0.0,0,0,0
kpm,koho,0.0,0,0,0
cam,cemuhî,0.0,0,0,0
nym,nyamwezi,0.0,0,0,0
duu,drung,0.0,0,0,0
uli,ulithian,0.0,0,0,0
bni,bobangi,0.0,0,0,0
jya,northern gyalrong,0.0,0,0,0
khb,lü,0.0,0,0,0
nuk,nuu-chah-nulth,0.0,0,0,0
bkc,baka (cameroon),0.0,0,0,0
nkh,khezha naga,0.0,0,0,0
alc,qawasqar,0.0,0,0,0
kjl,western parbate kham,0.0,0,0,0
tae,tariana,0.0,0,0,0
bmi,bagirmi,0.0,0,0,0
zmx,bomitaba,0.0,0,0,0
emk,eastern maninkakan,0.0,0,0,0
pqm,malecite-passamaquoddy,0.0,0,0,0
oac,oroch,0.0,0,0,0
bxm,mongolia buriat,0.0,0,0,0
aqc,archi,0.0,0,0,0
ygr,yagaria,0.0,0,0,0
mcx,mpiemo,0.0,0,0,0
tye,kyenga,0.0,0,0,0
bnm,batanga,0.0,0,0,0
bhh,bukharic,0.0,0,0,0
rol,romblomanon,0.0,0,0,0
fkk,kirya-konzel,0.0,0,0,0
hux,nüpode huitoto,0.0,0,0,0
khy,kele-foma,0.0,0,0,0
txy,tanosy malagasy,0.0,0,0,0
sbp,sangu (tanzania),0.0,0,0,0
bhb,bhili,0.0,0,0,0
jal,yalahatan-haruru-awaiya,0.0,0,0,0
bky,bokyi,0.0,0,0,0
tkg,tesaka malagasy,0.0,0,0,0
lea,lega-shabunda,0.0,0,0,0
mmc,michoacán mazahua,0.0,0,0,0
ccg,sama mum,0.0,0,0,0
mvy,indus kohistani,0.0,0,0,0
bmm,northern betsimisaraka malagasy,0.0,0,0,0
kyx,rapoisi,0.0,0,0,0
ruc,ruuli,0.0,0,0,0
keu,akebu,0.0,0,0,0
knb,lubuagan kalinga,0.0,0,0,0
dnt,mid grand valley dani,0.0,0,0,0
nco,sibe (nasioi),0.0,0,0,0
sho,shanga,0.0,0,0,0
bcy,bacama,0.0,0,0,0
pez,eastern penan,0.0,0,0,0
nbh,ngamo,0.0,0,0,0
dmk,domaaki,0.0,0,0,0
orc,orma,0.0,0,0,0
kxp,wadiyara koli,0.0,0,0,0
mki,dhatki,0.0,0,0,0
sne,bau-jagoi bidayuh,0.0,0,0,0
kfx,kullu pahari,0.0,0,0,0
mge,mango,0.0,0,0,0
bbu,kulung (nigeria),0.0,0,0,0
odu,odual,0.0,0,0,0
kqr,kimaragang,0.0,0,0,0
say,saya,0.0,0,0,0
ges,geser-gorom,0.0,0,0,0
ble,balanta-kentohe,0.0,0,0,0
lbw,tolaki,0.0,0,0,0
dgo,dogri,0.0,0,0,0
fay,fars dialects,0.0,0,0,0
sad,sandawe,0.0,0,0,0
iru,irula of the nilgiri,0.0,0,0,0
yhd,judeo-iraqi arabic,0.0,0,0,0
amc,amahuaca,0.0,0,0,0
kla,klamath-modoc,0.0,0,0,0
bcj,bardi,0.0,0,0,0
kjj,khinalug,0.0,0,0,0
haq,ha,0.0,0,0,0
yav,nuasue,0.0,0,0,0
mel,central melanau,0.0,0,0,0
sjp,surjapuri,0.0,0,0,0
ukv,kuku,0.0,0,0,0
gwc,gawri,0.0,0,0,0
bkh,bakoko,0.0,0,0,0
dml,dameli,0.0,0,0,0
mrr,maria (india),0.0,0,0,0
yer,tarok,0.0,0,0,0
ets,yekhee,0.0,0,0,0
bgq,bagri,0.0,0,0,0
kfb,northwestern kolami,0.0,0,0,0
hue,san francisco del mar huave,0.0,0,0,0
wci,waci gbe,0.0,0,0,0
zga,kinga,0.0,0,0,0
ldb,dũya,0.0,0,0,0
cdf,chiru,0.0,0,0,0
krr,krung,0.0,0,0,0
bda,kugere-kuxinge,0.0,0,0,0
tlp,filomeno mata totonac,0.0,0,0,0
jmx,western juxtlahuaca mixtec,0.0,0,0,0
bns,bundeli,0.0,0,0,0
ycl,lolopo,0.0,0,0,0
mfn,cross river mbembe,0.0,0,0,0
peg,pengo,0.0,0,0,0
qwa,corongo ancash quechua,0.0,0,0,0
flr,fuliiru,0.0,0,0,0
gsl,gusilay,0.0,0,0,0
bjk,barok,0.0,0,0,0
tes,tengger,0.0,0,0,0
kxf,manumanaw karen,0.0,0,0,0
kyo,klon,0.0,0,0,0
cla,ron,0.0,0,0,0
bnj,eastern tawbuid,0.0,0,0,0
had,hatam,0.0,0,0,0
noe,nimadi,0.0,0,0,0
srx,sirmauri,0.0,0,0,0
ctg,chittagonian,0.0,0,0,0
eyo,keiyo,0.0,0,0,0
kfw,kharam naga,0.0,0,0,0
vmz,mazatlán mazatec,0.0,0,0,0
gjk,kachi koli,0.0,0,0,0
prt,prai,0.0,0,0,0
plk,kohistani shina,0.0,0,0,0
kfr,kachchi,0.0,0,0,0
tdj,tajio,0.0,0,0,0
dif,dieri,0.0,0,0,0
mlm,mulam,0.0,0,0,0
djd,jaminjung-ngaliwurru,0.0,0,0,0
axk,yaka (central african republic),0.0,0,0,0
udi,udi,0.0,0,0,0
fsl,french sign language,0.0,0,0,0
grr,sud oranais-gourara,0.0,0,0,0
kun,kunama,0.0,0,0,0
shh,shoshoni,0.0,0,0,0
pga,south sudanese creole arabic,0.0,0,0,0
diz,ding,0.0,0,0,0
har,harari,0.0,0,0,0
ibl,ibaloi,0.0,0,0,0
lbz,lardil,0.0,0,0,0
alh,alawa,0.0,0,0,0
mzb,tumzabt,0.0,0,0,0
mgv,matengo,0.0,0,0,0
moj,monzombo,0.0,0,0,0
lax,tiwa (india),0.0,0,0,0
hea,northern qiandong miao,0.0,0,0,0
ekg,ekari,0.0,0,0,0
slp,lamaholot,0.0,0,0,0
mcm,malacca-batavia portuguese creole,0.0,0,0,0
dhl,dhalandji,0.0,0,0,0
aht,ahtena,0.0,0,0,0
ort,kotia-adivasi oriya-desiya,0.0,0,0,0
grb,liberian grebo,0.0,0,0,0
tcb,tanacross,0.0,0,0,0
jig,jingulu,0.0,0,0,0
cng,northern qiang,0.0,0,0,0
ktg,kalkatungu,0.0,0,0,0
oui,old turkic,0.0,0,0,0
arh,arhuaco,0.0,0,0,0
sga,early irish,0.0,0,0,0
mkj,mokilese,0.0,0,0,0
fun,fulniô,0.0,0,0,0
huz,hunzib,0.0,0,0,0
sef,senari,0.0,0,0,0
gno,northern gondi,0.0,0,0,0
yey,yeyi,0.0,0,0,0
gae,baniva de maroa,0.0,0,0,0
nbj,ngarinman,0.0,0,0,0
tiq,tiefo-daramandugu,0.0,0,0,0
pro,old provençal,0.0,0,0,0
gin,hinuq,0.0,0,0,0
msm,agusan manobo,0.0,0,0,0
snq,sangu (gabon),0.0,0,0,0
dov,toka-leya-dombe,0.0,0,0,0
meo,kedah-perak malay,0.0,0,0,0
tsj,tshangla,0.0,0,0,0
kwk,kwak'wala,0.0,0,0,0
kjv,kajkavian,0.0,0,0,0
rmb,rembarrnga,0.0,0,0,0
mrz,marind,0.0,0,0,0
lui,luiseno-juaneño,0.0,0,0,0
jup,hup,0.0,0,0,0
shr,shi,0.0,0,0,0
gup,bininj kun-wok,0.0,0,0,0
wro,worrorra,0.0,0,0,0
iai,iaai,0.0,0,0,0
tsu,tsou,0.0,0,0,0
yii,yidiñ,0.0,0,0,0
unp,western worrorran,0.0,0,0,0
drl,paakantyi,0.0,0,0,0
lic,hlai,0.0,0,0,0
xsl,south slavey,0.0,0,0,0
trf,trinidadian creole english,0.0,0,0,0
hax,southern haida,0.0,0,0,0
cnu,western algerian berber,0.0,0,0,0
mec,marra,0.0,0,0,0
tsq,thai sign language,0.0,0,0,0
inz,ineseño,0.0,0,0,0
bll,biloxi,0.0,0,0,0
pac,pacoh,0.0,0,0,0
iqu,iquito,0.0,0,0,0
nnm,namia,0.0,0,0,0
see,seneca,0.0,0,0,0
srh,sarikoli,0.0,0,0,0
blb,bilua,0.0,0,0,0
mnp,min bei chinese,0.0,0,0,0
mnv,rennell-bellona,0.0,0,0,0
kpt,karata-tukita,0.0,0,0,0
erk,nafsan,0.0,0,0,0
cim,cimbrian,0.0,0,0,0
agj,argobba,0.0,0,0,0
wrg,warrongo,0.0,0,0,0
wrz,warray,0.0,0,0,0
lbc,lakkia,0.0,0,0,0
kva,bagvalal,0.0,0,0,0
dry,darai,0.0,0,0,0
dcr,negerhollands,0.0,0,0,0
tqw,tonkawa,0.0,0,0,0
cic,chickasaw,0.0,0,0,0
hid,hidatsa,0.0,0,0,0
cns,central asmat,0.0,0,0,0
fpe,pichi,0.0,0,0,0
kjn,kunjen,0.0,0,0,0
ybh,yakkha,0.0,0,0,0
osc,oscan,0.0,0,0,0
hmb,humburi senni songhay,0.0,0,0,0
dds,donno so dogon,0.0,0,0,0
njh,lotha naga,0.0,0,0,0
gvp,pará-maranhão gavião,0.0,0,0,0
mez,menominee,0.0,0,0,0
pbh,panare,0.0,0,0,0
crw,chrau,0.0,0,0,0
nam,nangikurrunggurr,0.0,0,0,0
nmu,northeast maidu,0.0,0,0,0
crd,coeur d'alene,0.0,0,0,0
ncb,central nicobarese,0.0,0,0,0
xhu,hurrian,0.0,0,0,0
god,godié,0.0,0,0,0
cld,chaldean neo-aramaic,0.0,0,0,0
rgr,resígaro,0.0,0,0,0
ynk,naukan yupik,0.0,0,0,0
ite,itene,0.0,0,0,0
wmb,wambayan,0.0,0,0,0
nbx,wilson river (grey range),0.0,0,0,0
lsd,lishana deni,0.0,0,0,0
lmn,lambadi,0.0,0,0,0
del,common delaware,0.0,0,0,0
ung,ngarinyin,0.0,0,0,0
wiy,wiyot,0.0,0,0,0
xcl,classical-middle armenian,0.0,0,0,0
gay,gayo,0.0,0,0,0
scs,north slavey,0.0,0,0,0
pdu,kayan lahwi,0.0,0,0,0
djl,djiwarli-thiin,0.0,0,0,0
jct,krymchak,0.0,0,0,0
mde,maba (chad),0.0,0,0,0
suq,tirma-chai,0.0,0,0,0
yih,western yiddish,0.0,0,0,0
jao,yanyuwa,0.0,0,0,0
oro,orokolo,0.0,0,0,0
mtq,muong,0.0,0,0,0
kxk,lahta-zayein karen,0.0,0,0,0
yuy,east yugur,0.0,0,0,0
mrn,cheke holo,0.0,0,0,0
hdn,northern haida,0.0,0,0,0
ocu,atzingo matlatzinca,0.0,0,0,0
xwa,kwaza,0.0,0,0,0
wyb,ngiyambaa,0.0,0,0,0
moe,montagnais,0.0,0,0,0
mnh,mono (democratic republic of congo),0.0,0,0,0
wlg,kunbarlang,0.0,0,0,0
hni,hani,0.0,0,0,0
kfa,kodava,0.0,0,0,0
kcx,kachama-ganjule-haro,0.0,0,0,0
avl,eastern egyptian bedawi arabic,0.0,0,0,0
oaa,orok,0.0,0,0,0
gbp,gbaya-bossangoa,0.0,0,0,0
aed,argentine sign language,0.0,0,0,0
chl,cahuilla,0.0,0,0,0
kgg,kusunda,0.0,0,0,0
qkn,old kannada,0.0,0,0,0
ddj,jaru,0.0,0,0,0
gsg,german sign language,0.0,0,0,0
mhn,mòcheno,0.0,0,0,0
mlv,mwotlap,0.0,0,0,0
ums,pendau,0.0,0,0,0
thf,thangmi,0.0,0,0,0
asb,assiniboine,0.0,0,0,0
bev,daloa bété,0.0,0,0,0
tev,teor,0.0,0,0,0
ulk,meriam,0.0,0,0,0
pll,shwe palaung,0.0,0,0,0
mov,mohave,0.0,0,0,0
klb,kiliwa,0.0,0,0,0
okn,oki-no-erabu,0.0,0,0,0
xjb,tweed-albert,0.0,0,0,0
tus,tuscarora,0.0,0,0,0
uum,urum,0.0,0,0,0
mxj,kman,0.0,0,0,0
pav,wari',0.0,0,0,0
xto,tokharian a,0.0,0,0,0
dyy,dyaabugay,0.0,0,0,0
clo,lowland oaxaca chontal,0.0,0,0,0
ojg,eastern ojibwa,0.0,0,0,0
aty,aneityum,0.0,0,0,0
tjs,southern tujia,0.0,0,0,0
dji,djinang,0.0,0,0,0
paw,pawnee,0.0,0,0,0
pbp,jaad-badyara,0.0,0,0,0
hnd,southern hindko,0.0,0,0,0
mem,mangala,0.0,0,0,0
brc,berbice creole dutch,0.0,0,0,0
yug,yugh,0.0,0,0,0
zko,kott-assan,0.0,0,0,0
app,apma,0.0,0,0,0
txb,tokharian b,0.0,0,0,0
muz,mursi,0.0,0,0,0
rab,camling,0.0,0,0,0
gha,ghadames,0.0,0,0,0
nru,narua,0.0,0,0,0
skv,skou,0.0,0,0,0
ane,xârâcùù,0.0,0,0,0
jeb,jebero,0.0,0,0,0
xum,umbrian,0.0,0,0,0
ema,emai-iuleha-ora,0.0,0,0,0
klj,turkic khalaj,0.0,0,0,0
